name,Country,Gender,Sport,Discipline,Event,Year
Carolyn Jones,USA,Women,Basketball,Basketball,basketball,1992
Winthrop Graham,JAM,Men,Athletics,Athletics,4x400m relay&400m hurdles,1988&1992
Alexander Parygin,KAZ,Men,Modern Pentathlon,Modern Pentath.,Individual competition,1996
Ulf Timmermann,GDR,Men,Athletics,Athletics,shot put,1988
Paola Vukojicic,ARG,Women,Hockey,Hockey,hockey,2000&2004&2008
Nathan Deakes,AUS,Men,Athletics,Athletics,20km walk,2004
Yuji Takada,JPN,Men,Wrestling,Wrestling Free.,48 - 52kg (flyweight),1976&1984
Xiao-Min Huang,CHN,Women,Aquatics,Swimming,200m breaststroke,1988
Lauren Mcfall,USA,Women,Aquatics,Synchronized S.,team,2004
Jesus Rollan,ESP,Men,Aquatics,Water polo,water polo,1992&1996
Chris Thompson,USA,Men,Aquatics,Swimming,1500m freestyle,2000
Francis Obikwelu,POR,Men,Athletics,Athletics,100m,2004
Mi Ran Jang,KOR,Women,Weightlifting,Weightlifting,+ 75kg,2004
Jane Louise Barkman,USA,Women,Aquatics,Swimming,4x100m freestyle relay,1972
Kornelia Kunisch,GDR,Women,Handball,Handball,handball,1980
Robert Woodhouse,AUS,Men,Aquatics,Swimming,400m individual medley,1984
Lynette Woodard,USA,Women,Basketball,Basketball,basketball,1984
Magdalena Georgieva,BUL,Women,Rowing,Rowing,single sculls (1x),1988
Silvia Chivas baro,CUB,Women,Athletics,Athletics,100m&4x100m relay,1972
Martin Knosp,FRG,Men,Wrestling,Wrestling Free.,68 - 74kg (welterweight),1984
Natalia Meshcheryakova,EUN,Women,Aquatics,Swimming,4x100m medley relay,1992
Ioana Cristina Papuc,ROU,Women,Rowing,Rowing,eight with coxswain (8+),2008
Aleksandr Miroshnichenko,URS,Men,Boxing,Boxing,+ 91kg (super heavyweight),1988
Boris Isachenko,URS,Men,Archery,Archery,individual FITA round,1980
Graeme Brown,AUS,Men,Cycling,Cycling Track,Madison&Team Pursuit (4000m),2004
Gisela Grothaus,FRG,Women,Canoe,Canoe,K-1 (kayak single),1972
David Nilsson,AUS,Men,Baseball,Baseball,baseball,2004
Leszek Blazynski,POL,Men,Boxing,Boxing,48 - 51kg (flyweight),1972&1976
Hugo Dietsche,SUI,Men,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),1984
Yury Berezhko,RUS,Men,Volleyball,Volleyball,volleyball,2008
Natalya Lisovskaya,URS,Women,Athletics,Athletics,shot put,1988
Yermakhan Ibraimov,KAZ,Men,Boxing,Boxing,67 - 71kg (light-middleweight),2000
Margriet Zegers,NED,Women,Hockey,Hockey,hockey,1984
Isabel Fernandez,ESP,Women,Judo,Judo,52 - 56kg (lightweight)&52 - 57kg (lightweight),1996&2000
Yevgeni Gavrilenko,URS,Men,Athletics,Athletics,400m hurdles,1976
Hans Peter Minderhoud,NED,Men,Equestrian,Dressage,team,2008
Greet Hellemans,NED,Women,Rowing,Rowing,double sculls (2x)&eight with coxswain (8+),1984
Ibrahim Rojas blanco,CUB,Men,Canoe,Canoe,C-2 500m (canoe double),2004
Amarilys Savon,CUB,Women,Judo,Judo,- 48kg (extra-lightweight)&48 - 52kg (half-lightweight),1992&1996&2004
Lazaro Rivas,CUB,Men,Wrestling,Wrestling Gre-R,48 - 54kg,2000
Bogdan Dobrev,BUL,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1980
Kim Small,AUS,Women,Hockey,Hockey,hockey,1988
Daniel Nestor,CAN,Men,Tennis,Tennis,doubles,2000
Wilma Van velsen,NED,Women,Aquatics,Swimming,4x100m freestyle relay,1980
Dietmar Schwarz,GDR,Men,Rowing,Rowing,eight with coxswain (8+),1972
Veniamin Taianovitch,EUN,Men,Aquatics,Swimming,4x100m freestyle relay&4x200m freestyle relay,1992
Silken Suzette Laumann,CAN,Women,Rowing,Rowing,double sculls (2x)&single sculls (1x),1984&1992&1996
Cornelia Hanisch,FRG,Women,Fencing,Fencing,foil individual&foil team,1984
Anke Scholz,GER,Women,Aquatics,Swimming,4x200m freestyle relay,1996
David Townsend,GBR,Men,Rowing,Rowing,four without coxswain (4-),1980
Alberto Costa,ESP,Men,Tennis,Tennis,doubles,2000
Annette Hohn,GER,Women,Rowing,Rowing,coxless four (4-),1992
JYrgen Lehnert,GDR,Men,Canoe,Canoe,K-4 1000m (kayak four),1976
Pascal Jolyot,FRA,Men,Fencing,Fencing,foil individual&foil team,1980&1984
Joel Thomas,USA,Men,Aquatics,Swimming,4x100m freestyle relay,1992
Liang Huo,CHN,Men,Aquatics,Diving,synchronized diving 10m platform,2008
Lori-Ann Muenzer,CAN,Women,Cycling,Cycling Track,sprint,2004
Mariya Grabovetskaya,KAZ,Women,Weightlifting,Weightlifting,+ 75kg,2008
Frank Baltrusch,GDR,Men,Aquatics,Swimming,200m backstroke,1988
Natalya Antyukh,RUS,Women,Athletics,Athletics,400m&4x400m relay,2004
Jorge Hernandez padron,CUB,Men,Boxing,Boxing,- 48kg (light-flyweight),1976
Reiner Klimke,FRG,Men,Equestrian,Dressage,individual&team,1976&1984&1988
Michael Sullivan,GBR,Men,Shooting,Shooting,50m rifle prone (60 shots),1984
Milko Djurovski,YUG,Men,Football,Football,football,1984
Khadzhimurad Magomedov,RUS,Men,Wrestling,Wrestling Free.,74 - 82kg (middleweight),1996
Irina Osipova,RUS,Women,Basketball,Basketball,basketball,2004&2008
Monica Abbott,USA,Women,Softball,Softball,softball,2008
Fabian Vazquez,MEX,Men,Equestrian,Eventing,team,1980
Lyudmila Shchetinina,URS,Women,Volleyball,Volleyball,volleyball,1976
Kelly Holmes,GBR,Women,Athletics,Athletics,800m&1500m,2000&2004
Aaron Mcintosh,NZL,Men,Sailing,Sailing,board (Mistral),2000
Zac Purchase,GBR,Men,Rowing,Rowing,lightweight double sculls (2x),2008
Stephane Risacher,FRA,Men,Basketball,Basketball,basketball,2000
Gabriela Sabatini,ARG,Women,Tennis,Tennis,singles,1988
Kelly Santos,BRA,Women,Basketball,Basketball,basketball,2000
Viliar Loor,URS,Men,Volleyball,Volleyball,volleyball,1980
Alessandro Puccini,ITA,Men,Fencing,Fencing,foil individual,1996
Iztok Puc,YUG,Men,Handball,Handball,handball,1988&1996
Brigitte Wujak,GDR,Women,Athletics,Athletics,long jump,1980
Davide Tizzano,ITA,Men,Rowing,Rowing,quadruple sculls without coxswain (4x)&double sculls (2x),1988&1996
Stojko Vrankovic,CRO,Men,Basketball,Basketball,basketball,1992
Olena Zhupina,UKR,Women,Aquatics,Diving,synchronized diving 3m springboard,2000
Otakar Marecek,TCH,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1972
Bartlomiej Pawelczak,POL,Men,Rowing,Rowing,lightweight coxless four (4-),2008
Shawn Johnson,USA,Women,Gymnastics,Artistic G.,balance beam&floor exercises&individual all-round&team competition,2008
Vasiliy Kaptyukh,BLR,Men,Athletics,Athletics,discus throw,1996
L.Jay Silvester,USA,Men,Athletics,Athletics,discus throw,1972
Herbert Krug,FRG,Men,Equestrian,Dressage,team,1984
Zetian Sheng,CHN,Men,Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight)&54 - 58kg,1992&1996&2000
Brita Pia Baldus,GER,Women,Aquatics,Diving,3m springboard,1992
Shane Rose,AUS,Men,Equestrian,Eventing,team,2008
Daniel Lee Harrigan,USA,Men,Aquatics,Swimming,200m backstroke,1976
Gregory Mark Pascol Searle,GBR,Men,Rowing,Rowing,pair-oared shell with coxswain (2+)&four without coxswain (4-),1992&1996
Flora Jean Hyman,USA,Women,Volleyball,Volleyball,volleyball,1984
Galina Savitskaya,URS,Women,Basketball,Basketball,basketball,1988
Daniel Xuereb,FRA,Men,Football,Football,football,1984
Olaf Engelhardt,GDR,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1976
Doina Besliu-melinte,ROU,Women,Athletics,Athletics,1500m&800m,1984
Fritz Walter,FRG,Men,Football,Football,football,1988
Revaz Dzodzuashvili,URS,Men,Football,Football,football,1972
Jenny Thompson,USA,Women,Aquatics,Swimming,100m freestyle&4x100m freestyle relay&4x100m medley relay&4x200m freestyle relay,1992&1996&2000&2004
Irina Sumnikova,URS,Women,Basketball,Basketball,basketball,1988
Jorgen Emil Hansen,DEN,Men,Cycling,Cycling Road,team time trial,1976
Sheilla Castro,BRA,Women,Volleyball,Volleyball,volleyball,2008
Nuno Barreto,POR,Men,Sailing,Sailing,470 - Two Person Dinghy,1996
Attila Vari,HUN,Men,Aquatics,Water polo,water polo,2000&2004
Yawen Zhang,CHN,Women,Badminton,Badminton,doubles,2008
Josef Panacek,TCH,Men,Shooting,Shooting,skeet (125 targets),1976
Julius Kariuki,KEN,Men,Athletics,Athletics,3000m steeplechase,1988
Giorbis Duvergel,CUB,Men,Baseball,Baseball,baseball,2008
Werner Kaessmann,FRG,Men,Hockey,Hockey,hockey,1972
Li-Ping Liu,CHN,Women,Handball,Handball,handball,1984
Bente Kvitland,NOR,Women,Football,Football,football,2000
Robert Felisiak,GER,Men,Fencing,Fencing,Zpze team,1992
Yongkyu Lee,KOR,Men,Baseball,Baseball,baseball,2008
Rebecca Smith,CAN,Women,Aquatics,Swimming,400m individual medley&4x100m freestyle relay,1976
Yue-Ming Li,CHN,Women,Volleyball,Volleyball,volleyball,1988
Konstantin Ushkov,RUS,Men,Aquatics,Swimming,4x100m freestyle relay,1996
Rodrigo Tello,CHI,Men,Football,Football,football,2000
JYrgen Paeke,GDR,Men,Gymnastics,Artistic G.,team competition,1972
Yaroslava Pavlovich,BLR,Women,Rowing,Rowing,eight with coxswain (8+),1996
Jesus Gomez portugal,MEX,Men,Equestrian,Jumping,team,1980
Zdeslav Vrdoljak,CRO,Men,Aquatics,Water polo,water polo,1996
Poul Richard Hoj Jensen,DEN,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1976&1980
Trendafil Stoitchev,BUL,Men,Weightlifting,Weightlifting,75 - 82.5kg total (light-heavyweight),1976
Philippe Jeannol,FRA,Men,Football,Football,football,1984
Pierre Wome nlend,CMR,Men,Football,Football,football,2000
Paul Ratcliffe,GBR,Men,Canoe,Canoe,K-1 (kayak single),2000
Emily Seebohm,AUS,Women,Aquatics,Swimming,4x100m medley relay,2008
Miki Nakao,JPN,Women,Aquatics,Swimming,200m backstroke,2000
Atsushi Fujimoto,JPN,Men,Baseball,Baseball,baseball,2004
Ben Sheets,USA,Men,Baseball,Baseball,baseball,2000
Andrew Cooper,AUS,Men,Rowing,Rowing,four without coxswain (4-),1992
Daniel Aranzubia,ESP,Men,Football,Football,football,2000
Jeffrey Malcolm Stork,USA,Men,Volleyball,Volleyball,volleyball,1988&1992
Usain Bolt,JAM,Men,Athletics,Athletics,100m&200m&4x100m relay,2008
Soren Claeson,SWE,Men,Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),1984
Han-Soo Kim,KOR,Men,Baseball,Baseball,baseball,2000
Ernesto Cristaldo,PAR,Men,Football,Football,football,2004
Djoko Lavrnic,YUG,Men,Handball,Handball,handball,1972
Rupert John Obholzer,GBR,Men,Rowing,Rowing,four without coxswain (4-),1996
Dyana Calub,AUS,Women,Aquatics,Swimming,4x100m medley relay,2000
Duje Draganja,CRO,Men,Aquatics,Swimming,50m freestyle,2004
Mark Woodforde,AUS,Men,Tennis,Tennis,doubles,1996&2000
Vlado Capljic,YUG,Men,Football,Football,football,1984
John Cameron Shaw,AUS,Men,Sailing,Sailing,dragon,1972
Elena Khoudachova,EUN,Women,Basketball,Basketball,basketball,1992
THIAGO SILVA,BRA,Men,Football,Football,football,2008
Lajos Papp,HUN,Men,Shooting,Shooting,300m free rifle 3 positions (3x40 shots),1972
Christian Schenk,GDR,Men,Athletics,Athletics,decathlon,1988
Djan Garrido madruga,BRA,Men,Aquatics,Swimming,4x200m freestyle relay,1980
Renan Dal zotto,BRA,Men,Volleyball,Volleyball,volleyball,1984
Uwe Dassler,GDR,Men,Aquatics,Swimming,1500m freestyle&400m freestyle&4x200m freestyle relay,1988
Philip Dalhausser,USA,Men,Volleyball,Beach volley.,beach volleyball,2008
Jesus Maria Lacruz,ESP,Men,Football,Football,football,2000
Katrine Lunde Haraldsen,NOR,Women,Handball,Handball,handball,2008
Vladimir Esheev,URS,Men,Archery,Archery,individual FITA round,1988
Sergey Dotsenko,UKR,Men,Boxing,Boxing,63.5 - 67kg (welterweight),2000
Serguei Pyzhyanov,EUN,Men,Shooting,Shooting,10m air pistol (60 shots),1992
Christa Lee Williams,USA,Women,Softball,Softball,softball,1996&2000
Slobodan Nikic,SCG,Men,Aquatics,Water polo,water polo,2004
Martin Ndongo-ebanga,CMR,Men,Boxing,Boxing,57 - 60kg (lightweight),1984
Henriette Henriksen,NOR,Women,Handball,Handball,handball,1992
Yoshihiro Okumura,JPN,Men,Aquatics,Swimming,4x100m medley relay,2004
Xiao-Bo Song,CHN,Women,Basketball,Basketball,basketball,1984
Grant Bramwell,NZL,Men,Canoe,Canoe,K-4 1000m (kayak four),1984
Isabel Heredia,PER,Women,Volleyball,Volleyball,volleyball,1988
Andrey Glukhov,RUS,Men,Rowing,Rowing,eight with coxswain (8+),1996
Kipchoge Keino,KEN,Men,Athletics,Athletics,1500m&3000m steeplechase,1972
Jimmi Madsen,DEN,Men,Cycling,Cycling Track,Team Pursuit (4000m),1992
Alfred Ter-mkrtchyan,EUN,Men,Wrestling,Wrestling Gre-R,48 - 52kg (flyweight),1992
Heather Petri,USA,Women,Aquatics,Water polo,water polo,2000&2004&2008
Sami Ullah Khan,PAK,Men,Hockey,Hockey,hockey,1976
Nikita Cuffe,AUS,Women,Aquatics,Water polo,water polo,2008
Alex Partridge,GBR,Men,Rowing,Rowing,eight with coxswain (8+),2008
Elfi Zinn,GDR,Women,Athletics,Athletics,800m,1976
Sandro Cuomo,ITA,Men,Fencing,Fencing,Zpze team,1984&1996
Zdravko Zovko,YUG,Men,Handball,Handball,handball,1984
Sue Fairhurst,AUS,Women,Softball,Softball,softball,2000
Seiji Oko,JPN,Men,Volleyball,Volleyball,volleyball,1972
Vladimir Krylov,URS,Men,Athletics,Athletics,4x100m relay,1988
Denis Kapustin,RUS,Men,Athletics,Athletics,triple jump,2000
Patrick Hausding,GER,Men,Aquatics,Diving,synchronized diving 10m platform,2008
Miho Kawabe,JPN,Women,Aquatics,Synchronized S.,team,1996
Nawal El moutawakel,MAR,Women,Athletics,Athletics,400m hurdles,1984
John Anderson,AUS,Men,Sailing,Sailing,two-person keelboat open (Star),1972
Aleksandr Sidorenko,URS,Men,Aquatics,Swimming,400m individual medley,1980
Bryony Shaw,GBR,Women,Sailing,Sailing,RS:X - Windsurfer,2008
Nermedin Selimov,BUL,Men,Wrestling,Wrestling Free.,48 - 52kg (flyweight),1980
Danielle De bruijn,NED,Women,Aquatics,Water polo,water polo,2008
Roberto Molina carrasco,ESP,Men,Sailing,Sailing,470 - Two Person Dinghy,1984
Marcus Laborne Mattioli,BRA,Men,Aquatics,Swimming,4x200m freestyle relay,1980
Julien Bahain,FRA,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),2008
Lajos Ku,HUN,Men,Football,Football,football,1972
Elvira Khasyanova,RUS,Women,Aquatics,Synchronized S.,team,2004&2008
Irina Kalinina,URS,Women,Aquatics,Diving,3m springboard,1980
Antonio Vazquez,ESP,Men,Archery,Archery,team (FITA Olympic round - 70m),1992
David Dennis Wilson,USA,Men,Aquatics,Swimming,100m backstroke,1984
Erika Salumae,URS,Women,Cycling,Cycling Track,sprint,1988&1992
Oliver Michael Kegel,GER,Men,Canoe,Canoe,K-4 1000m (kayak four),1992
David Fox,USA,Men,Aquatics,Swimming,4x100m freestyle relay,1996
Echiko Maeda,JPN,Women,Volleyball,Volleyball,volleyball,1976
Steven D. Mccrory,USA,Men,Boxing,Boxing,48 - 51kg (flyweight),1984
Aleksander Varbanov,BUL,Men,Weightlifting,Weightlifting,67.5 - 75kg total (middleweight),1988
Ivan Yankov,BUL,Men,Wrestling,Wrestling Free.,62 - 68kg (lightweight),1980
Morten Joergensen,DEN,Men,Rowing,Rowing,lightweight coxless four (4-),2008
Alexander Sukhorukov,RUS,Men,Aquatics,Swimming,4x200m freestyle relay,2008
Florenta Tacu-craiciunescu,ROU,Women,Athletics,Athletics,discus throw,1984
Andrey Perlov,EUN,Men,Athletics,Athletics,50km walk,1992
Iordan Iovtchev,BUL,Men,Gymnastics,Artistic G.,floor exercises&rings,2000&2004
Volodymyr Sydorenko,UKR,Men,Boxing,Boxing,48 - 51kg (flyweight),2000
Patrick Barre,FRA,Men,Athletics,Athletics,4x100m relay,1980
Marc Cerboni,FRA,Men,Fencing,Fencing,foil team,1984
Naim Suleymanoglu,TUR,Men,Weightlifting,Weightlifting,56 - 60kg total (featherweight)&59 - 64kg total (featherweight),1988&1992&1996
Wladyslaw Szuszkiewicz,POL,Men,Canoe,Canoe,K-2 1000m (kayak double),1972
Elena Vassilevskaia,RUS,Women,Volleyball,Volleyball,volleyball,2000
Hrachik Javakhyan,ARM,Men,Boxing,Boxing,57 - 60kg (lightweight),2008
Pierpaolo Ferrazzi,ITA,Men,Canoe,Canoe,K-1 (kayak single),1992&2000
Inna Frolova,URS,Women,Rowing,Rowing,quadruple sculls without coxswain (4x),1988&1996
Kiyomi Kato,JPN,Men,Wrestling&Volleyball,Wrestling Free.&Volleyball,48 - 52kg (flyweight)&volleyball,1972&1976
Serik Konakbaev,URS,Men,Boxing,Boxing,60 - 63.5kg (light-welterweight),1980
Qing Liu,CHN,Women,Basketball,Basketball,basketball,1984&1992
Mikako Kotani,JPN,Women,Aquatics,Synchronized S.,duet&solo,1988
Hussain Manzoor,PAK,Men,Hockey,Hockey,hockey,1976&1984
Gustavo Lopez,ARG,Men,Football,Football,football,1996
Filippo Magnini,ITA,Men,Aquatics,Swimming,4x200m freestyle relay,2004
Mikhail Nichepurenko,URS,Men,Hockey,Hockey,hockey,1980
Minke Smabers,NED,Women,Hockey,Hockey,hockey,2000&2004&2008
Grant Davies,AUS,Men,Canoe,Canoe,K-1 1000m (kayak single),1988
Xiu-Hua Zhou,CHN,Women,Rowing,Rowing,eight with coxswain (8+),1988
Heidi Astrup,DEN,Women,Handball,Handball,handball,1996
David Alegre,ESP,Men,Hockey,Hockey,hockey,2008
Birgit Heinecke,GDR,Women,Handball,Handball,handball,1980
Nicola Vizzoni,ITA,Men,Athletics,Athletics,hammer throw,2000
Tia Hellebaut,BEL,Women,Athletics,Athletics,high jump,2008
Junko Onishi,JPN,Women,Aquatics,Swimming,4x100m medley relay,2000
Luiz Dias,BRA,Men,Football,Football,football,1984
Rodrigo Nunez,CHI,Men,Football,Football,football,2000
Stephanie Brown trafton,USA,Women,Athletics,Athletics,discus throw,2008
Peter Frenkel,GDR,Men,Athletics,Athletics,20km walk,1972&1976
Maria Claudia Presacan,ROU,Women,Gymnastics,Artistic G.,team competition,2000
Naho Emoto,JPN,Women,Softball,Softball,softball,2008
Liudmila Frolova,URS,Women,Hockey,Hockey,hockey,1980
Sally Mcdermid,AUS,Women,Softball,Softball,softball,1996&2000
Claudio Vandelli,ITA,Men,Cycling,Cycling Road,team time trial,1984
Matthias Wiegand,GDR,Men,Cycling,Cycling Track,Team Pursuit (4000m),1980
Xu Wang,CHN,Women,Wrestling,Wrestling Free.,63 - 72kg,2004
Stanislav Pozdnyakov,EUN,Men,Fencing,Fencing,sabre team&sabre individual,1992&1996&2000&2004
Heike Henkel,GER,Women,Athletics,Athletics,high jump,1992
FORMIGA,BRA,Women,Football,Football,football,2004&2008
Qing-Guang Wei,CHN,Men,Table Tennis,Table Tennis,doubles,1988
Corneliu Oros,ROU,Men,Volleyball,Volleyball,volleyball,1980
Ying Jiang,CHN,Women,Volleyball,Volleyball,volleyball,1984&1988
Gyorgy Horkai,HUN,Men,Aquatics,Water polo,water polo,1976&1980
Jean Christophe Thouvenel,FRA,Men,Football,Football,football,1984
Richard Tonks,NZL,Men,Rowing,Rowing,four without coxswain (4-),1972
Jarmila Kralickova,TCH,Women,Hockey,Hockey,hockey,1980
Malcolm Page,AUS,Men,Sailing,Sailing,470 - Two Person Dinghy,2008
Alan Tsagaev,BUL,Men,Weightlifting,Weightlifting,105kg,2000
Sandro Bellucci,ITA,Men,Athletics,Athletics,50km walk,1984
Kyriaki Liosi,GRE,Women,Aquatics,Water polo,water polo,2004
Reidun Seth,NOR,Women,Football,Football,football,1996
Natalia Stasyuk,BLR,Women,Rowing,Rowing,eight with coxswain (8+),1996
Vladimir Lapitski,URS,Men,Fencing,Fencing,foil team,1980
Okechukwu Uche,NGR,Men,Football,Football,football,1996
Georg Tallberg,FIN,Men,Sailing,Sailing,470 - Two Person Dinghy,1980
Simon Aspelin,SWE,Men,Tennis,Tennis,doubles,2008
Frederic Weis,FRA,Men,Basketball,Basketball,basketball,2000
Victoria Jean Latta,NZL,Women,Equestrian,Eventing,team,1992&1996
Kenji Inoue,JPN,Men,Wrestling,Wrestling Free.,55 - 60kg,2004
Galyna Markushevska,UKR,Women,Handball,Handball,handball,2004
Roman Bierla,POL,Men,Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight),1980
Tauqeer Dar,PAK,Men,Hockey,Hockey,hockey,1984
Hanne Mandsfeldt Eriksen,DEN,Women,Rowing,Rowing,quadruple sculls with coxswain (4x),1984
Talant Douichebaev,EUN,Men,Handball,Handball,handball,1992&1996&2000
Paul Benedict Sunderland,USA,Men,Volleyball,Volleyball,volleyball,1984
Javier Di gregorio,CHI,Men,Football,Football,football,2000
Andries Hoepelman,NED,Men,Aquatics,Water polo,water polo,1976
Dmitri Kouzelev,RUS,Men,Handball,Handball,handball,2000
Michelle Chandler,AUS,Women,Basketball,Basketball,basketball,1996
Nadine Angerer,GER,Women,Football,Football,football,2000&2008
Daouda Karaboue,FRA,Men,Handball,Handball,handball,2008
Froukje Wegman,NED,Women,Rowing,Rowing,eight with coxswain (8+),2004
Janice Faye Lawrence,USA,Women,Basketball,Basketball,basketball,1984
Ebrahim Javadipour,IRI,Men,Wrestling,Wrestling Free.,- 48kg (light-flyweight),1972
Shigeki Wakabayashi,JPN,Men,Baseball,Baseball,baseball,1992
Christoph Zerbst,AUT,Men,Rowing,Rowing,double sculls (2x),1992
Michal Sliwinski,URS,Men,Canoe,Canoe,C-1 500m (canoe single),1988&1992
Wendy Katrina Fraser,GBR,Women,Hockey,Hockey,hockey,1992
Elena Azarova,RUS,Women,Aquatics,Synchronized S.,team,2000&2004
Taras Danko,UKR,Men,Wrestling,Wrestling Free.,74 - 84kg,2008
Werner Lippoldt,GDR,Men,Shooting,Shooting,50m rifle 3 positions (3x40 shots),1972
Hans-Peter Koppe,GDR,Men,Rowing,Rowing,eight with coxswain (8+),1980
Matija Ljubek,YUG,Men,Canoe,Canoe,C-1 1000m (canoe single)&C-1 500m (canoe single)&C-2 1000m (canoe double)&C-2 500m (canoe double),1976&1984
Riley Salmon,USA,Men,Volleyball,Volleyball,volleyball,2008
David Michael Dunne,GBR,Men,Aquatics,Swimming,4x200m freestyle relay,1976
Shu Chi Yuan,TPE,Women,Archery,Archery,team (FITA Olympic round - 70m),2004
Mitchell Jay Gaylord,USA,Men,Gymnastics,Artistic G.,parallel bars&rings&team competition&vault,1984
Razif Sidek,MAS,Men,Badminton,Badminton,doubles,1992
Marco Meoni,ITA,Men,Volleyball,Volleyball,volleyball,1996&2000
Young-Sook Kim,KOR,Women,Hockey,Hockey,hockey,1988
Launi Kay Meili,USA,Women,Shooting,Shooting,50m rifle 3 positions (3x20 shots),1992
Yuri Lagutin,URS,Men,Handball,Handball,handball,1976
David Maurice Robinson,USA,Men,Basketball,Basketball,basketball,1988&1992&1996
Zhihong Huang,CHN,Women,Athletics,Athletics,shot put,1992
Tatiana Ustyuzhanina,EUN,Women,Rowing,Rowing,quadruple sculls without coxswain (4x),1992
Jorgelina Rimoldi puig,ARG,Women,Hockey,Hockey,hockey,2000
Danielle Scott-arruda,USA,Women,Volleyball,Volleyball,volleyball,2008
Salah Hissou,MAR,Men,Athletics,Athletics,10000m,1996
Jingbai Ou,CHN,Women,Softball,Softball,softball,1996
Nadezhda Shuvaeva-olkhova,URS,Women,Basketball,Basketball,basketball,1976&1980
Jsrg Spengler,FRG,Men,Sailing,Sailing,Tornado - Multihull,1976
Peter W. Nordell,USA,Men,Rowing,Rowing,eight with coxswain (8+),1988
Jamie Baulch,GBR,Men,Athletics,Athletics,4x400m relay,1996
Alexei Lezin,RUS,Men,Boxing,Boxing,+ 91kg (super heavyweight),1996
Sergey Grankin,RUS,Men,Volleyball,Volleyball,volleyball,2008
Soso Liparteliani,GEO,Men,Judo,Judo,73 - 81kg (half-middleweight),1996
Mikhail Ivanov,URS,Men,Aquatics,Water polo,water polo,1980&1988
Jan Franek,TCH,Men,Boxing,Boxing,67 - 71kg (light-middleweight),1980
Giovanni De benedictis,ITA,Men,Athletics,Athletics,20km walk,1992
Les Wilson,NZL,Men,Hockey,Hockey,hockey,1976
Jason Kenny,GBR,Men,Cycling,Cycling Track,Sprint indivual&Team Sprint,2008
Samuel Bruce Perkins,USA,Men,Basketball,Basketball,basketball,1984
Thamar Henneken,NED,Women,Aquatics,Swimming,4x100m freestyle relay,2000
Miyo Yamada,JPN,Women,Softball,Softball,softball,2000
Andrew Smith,AUS,Men,Hockey,Hockey,hockey,2008
Ulrike Meyfarth,FRG,Women,Athletics,Athletics,high jump,1972&1984
Yunjie Fan,CHN,Women,Football,Football,football,1996
Oleg Kuleshov,RUS,Men,Handball,Handball,handball,2004
Tatyana Krainova,URS,Women,Volleyball,Volleyball,volleyball,1988
Harri Matias Koskela,FIN,Men,Wrestling,Wrestling Gre-R,82 - 90kg (light-heavyweight),1988
Maritza Marten,CUB,Women,Athletics,Athletics,discus throw,1992
Illya Kvasha,UKR,Men,Aquatics,Diving,synchronized diving 3m springboard,2008
Jorge Garbajosa,ESP,Men,Basketball,Basketball,basketball,2008
Patricia Smith,CAN,Women,Rowing,Rowing,pair without coxswain (2-),1984
Margriet Matthijsse,NED,Women,Sailing,Sailing,single-handed dinghy (Europe),1996&2000
James A. Butts,USA,Men,Athletics,Athletics,triple jump,1976
Charles Mckee,USA,Men,Sailing,Sailing,470 - Two Person Dinghy&49er - Skiff,1988&2000
Stephanie Maxwell pierson,USA,Women,Rowing,Rowing,pair without coxswain (2-),1992
Vaughn Jefferis,NZL,Men,Equestrian,Eventing,team,1996
Wen-Yee Tsai,TPE,Men,Weightlifting,Weightlifting,56 - 60kg total (featherweight),1984
Liang Tian,CHN,Men,Aquatics,Diving,10m platform&synchronized diving 10m platform,2000&2004
Jong-Shin Kim,KOR,Men,Wrestling,Wrestling Free.,- 48kg (light-flyweight),1992
Fabrice Colas,FRA,Men,Cycling,Cycling Track,1km time trial,1984
Young-Ah Gil,KOR,Women,Badminton,Badminton,doubles,1992&1996
Luiz Carlos Winck,BRA,Men,Football,Football,football,1984&1988
Olesya Krasnomovets,RUS,Women,Athletics,Athletics,4x400m relay,2004
Mariela Antoniska,ARG,Women,Hockey,Hockey,hockey,2000&2004
Shareef Abdur-rahim,USA,Men,Basketball,Basketball,basketball,2000
Erika Coimbra,BRA,Women,Volleyball,Volleyball,volleyball,2000
Amy Catherine De bary,SUI,Women,Equestrian,Dressage,team,1984
Rainer Schuettler,GER,Men,Tennis,Tennis,doubles,2004
Steven Edward Salmons,USA,Men,Volleyball,Volleyball,volleyball,1984
Paul-Heinz Wellmann,FRG,Men,Athletics,Athletics,1500m,1976
Eddie Ockenden,AUS,Men,Hockey,Hockey,hockey,2008
Jochem Verberne,NED,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),2000
Sylvie Bernier,CAN,Women,Aquatics,Diving,3m springboard,1984
Augustine Okocha,NGR,Men,Football,Football,football,1996
